name,num_files,bytes,separate_run_millis
OpenMPinit,1,1051,1265
SatCheck_Check,1,2362,2312
TicTacToeInt,1,7728,3673
demo3a-func,1,1469,1944
kernel-example-v2,1,1870,2406
OnlyInstanceof,1,237,661
Knuth_Tabulate,1,1071,908
TreeWand-E1,1,5003,1379
OpenMPotherTest,1,787,945
OptionTypeManual,1,569,1355
LabeledStatements,1,557,749
Synchronized,1,397,743
AppendPrepend,1,1471,2317
SummationReduction,1,709,1228
ListAppendASyncDefInline,1,1127,960
FullThread,3,2860,876
HistoryLoop,2,2008,1555
TypeExample1,1,560,758
kernel-example-v3,1,1661,2052
MapsInPVL,1,1708,2247
OpenMPmainTest,1,302,801
RBSingleCellWitnesses,1,4467,1113
FractionComparison,1,192,701
HistoryDefined,1,947,1312
DoubleDeclare,1,523,640
GraphReachability,1,2326,2238
ThrowsAndThrow,1,297,621
ExceptionAbortsAssignment,1,401,702
ListsPVL,1,808,1787
FunctionProblemFull,1,422,844
CExampleImpl,1,168,907
BasicNewArray,1,187,831
InvariantParallelAtomic,1,1145,1697
TypecheckSignalsBad,1,198,677
SignalsMustPropagate,1,223,659
BadLoop2,1,407,787
GPGPUExample,1,3798,1507
BadLoop1,1,440,846
TreeRecursiveSilver,1,1095,879
LocationError2,1,174,883
LocationError1,1,173,740
SignalsExtendsThrowable,1,183,658
OpenMPadd,1,1625,1271
TransposeCopy,1,1140,2070
TestFloat,1,2724,687
forward-dep,1,1930,2081
OpenMPSectionReducedFail1,1,2630,1342
HistogramSubMatrix,1,1755,1747
BoogieExample,1,917,780
ForWithinParallel,1,292,910
OnlyReturn,1,411,717
UnusedCheckedCatchBad,1,241,642
LabeledWhile,1,1275,870
kernel-example,1,1330,1754
LFQhistoryApplication,1,10319,1566
TestHist,1,1290,945
ZeroKernel,1,523,1378
OwickiGries,2,655,1118
WandDemoSilver,1,1105,922
Counter,1,1032,905
ListDomain,1,684,398
InductionSolution,1,502,1382
BasicAssert,1,277,742
SeparateMain,1,273,676
BasicAssert-E1,1,278,723
SwitchVarious,1,2491,737
MultiDimArray,1,704,812
InvokationInGuard,1,394,661
ArrayProblem2Full,1,878,894
ParallelPVLExample1,1,930,1583
HistogramMatrix,1,1859,1643
NoResultInSignals,1,143,666
IncrThread,3,1739,823
ghi,1,984,753
Box,1,400,1669
ListIterator,1,6740,1160
Refute3,1,375,743
ParallelWhile,1,1418,1678
Refute4,1,348,767
Refute5,1,376,753
LabeledIf,1,170,677
OwickiGriesMain,1,299,702
ASSSPv4,1,38178,3060
ASSSPv3,1,1390,1406
MultiIncrement,1,2153,1078
BasicCuda,1,325,922
GPGPUExampleUpdates,1,2968,1425
WitnessDemo,1,1640,914
TypecheckThrowsThrowBad,1,204,647
ExpHoareLogic,1,633,1096
ASSSP,1,47057,4634
ReturnFinally,1,627,763
PrecedingGarbage,1,133,512
OpenMPSectionReduced,1,2645,1416
PostfixIncrement,1,381,866
SingleCellWitnesses,1,2945,873
Semaphore,1,4778,1054
ConcurrentCounting,1,1268,1633
FrameError1,1,330,997
Abrupt,1,1231,778
ReentLock,1,6193,1265
BoogieTest,1,1201,846
GapBuffer,1,6666,3476
TestScale,1,398,799
LoopPVL,2,855,1930
Refute1,1,274,643
Refute2,1,300,748
demo3d,1,1897,3312
demo3c,1,680,1965
demo3b,1,478,1693
demo3a,1,488,2136
relaxed_prefix,1,9369,3369
IntegerList,1,2767,938
CastExample,1,1526,1011
CounterState,1,3462,778
TreeStack,1,3580,1119
OpenMPcopy,1,1145,1383
Twice,1,641,708
ZeroSubMatrix-C,1,1054,1492
SeqImmutable,1,237,1439
NewRuntimeException,1,177,626
ParPointerSimplification,1,217,1018
JavaArrayExamples,1,3395,1161
ArrayItemAccess,1,565,2259
Frac2,1,156,734
SeparateUtil,1,262,676
Frac1,1,156,741
TrailingGarbage,1,132,555
CountDownLatch,1,4462,1268
TestFork,1,218,756
TestValue2,1,390,747
TestValue1,1,330,758
LeastCommonPrefix,1,1003,1789
ProdConsWitnesses,1,3942,1076
DepositWithdrawLockWitnesses,1,3099,938
LeaderElect,1,16237,7546
MinMaxList,1,1092,1706

